stratum_type,stratum,rule_a,rule_b,cases,active_cases_a,active_cases_b,both_active_cases,mean_a,mean_b,prevalence_gap,pearson,spearman,cosine,mae,rmse,max_abs_diff,exact_same_cases,exact_same_rate,within_20pp_cases,within_20pp_rate,within_40pp_cases,within_40pp_rate,both_variable_cases,profile_score
ground_truth,ROGUE,J3,J5,197,54,50,48,0.07614213197969544,0.06903553299492386,0.0071065989847715755,0.9097751198371185,0.9013350779569657,0.9274777915203366,0.017258883248730966,0.06211173818453779,0.4,181,0.9187817258883249,196,0.9949238578680203,197,1.0,47,0.8940734172612494
ground_truth,CLEAN,F1,F3,99,2,1,1,0.0060606060606060615,0.00202020202020202,0.004040404040404041,0.8935182737458545,0.7107053122190142,0.8944271909999159,0.00404040404040404,0.02842676218074806,0.2,97,0.9797979797979798,99,1.0,99,1.0,1,0.8899080989024368
ground_truth,CLEAN,F1,F2,99,2,1,1,0.0060606060606060615,0.010101010101010102,0.00404040404040404,0.893518273745844,0.7107053122190142,0.8944271909999159,0.00808080808080808,0.06356417261637282,0.6,97,0.9797979797979798,98,0.98989898989899,98,0.98989898989899,0,0.8862979240590089
verdict,BLOCK,J4,J5,198,48,50,46,0.06666666666666667,0.06868686868686869,0.0020202020202020193,0.8995001483952684,0.9115794942368486,0.9181561700975344,0.01616161616161616,0.06356417261637282,0.4,184,0.9292929292929293,196,0.98989898989899,198,1.0,45,0.8849627722595873
ground_truth,ROGUE,J4,J5,197,48,50,46,0.06700507614213198,0.06903553299492386,0.0020304568527918787,0.8993837234415631,0.911375151097199,0.9181561700975344,0.016243654822335026,0.06372529878771661,0.4,183,0.9289340101522843,195,0.9898477157360406,197,1.0,45,0.884774444685152
ground_truth,ROGUE,J2,J5,197,62,50,50,0.09137055837563451,0.06903553299492386,0.022335025380710652,0.8867392765553678,0.8746617387100818,0.9091564578749004,0.026395939086294423,0.07804723286815257,0.4,173,0.8781725888324873,195,0.9898477157360406,197,1.0,49,0.8633329606259875
verdict,BLOCK,J2,J5,198,62,50,50,0.09116161616161615,0.06868686868686869,0.022474747474747467,0.8849798129100127,0.8706057175937062,0.9076560611211149,0.026515151515151516,0.07857634774054101,0.4,174,0.8787878787878788,195,0.9848484848484849,198,1.0,49,0.8615144390828533
quadrant,FLAWED_APPROVAL,J3,J5,73,44,42,41,0.17808219178082188,0.1643835616438356,0.013698630136986273,0.8904634187860827,0.8671016669813483,0.9384139223472615,0.03561643835616438,0.09065968278232492,0.4,61,0.8356164383561644,72,0.9863013698630136,73,1.0,40,0.8587482833224689
quadrant,FLAWED_APPROVAL,J4,J5,73,41,42,40,0.16164383561643833,0.1643835616438356,0.0027397260273972768,0.87136282186125,0.8511660157084441,0.9258436428589204,0.03561643835616438,0.09651460248662212,0.4,62,0.8493150684931506,71,0.9726027397260274,73,1.0,39,0.8403279816305754
ground_truth,ROGUE,J2,J4,197,62,48,47,0.09137055837563451,0.06700507614213198,0.02436548223350253,0.8533320971588544,0.8277513294022418,0.8821764529376462,0.030456852791878174,0.08783926252314019,0.6,170,0.8629441624365483,195,0.9898477157360406,196,0.9949238578680203,46,0.8273422870931025
verdict,BLOCK,J2,J4,198,62,48,47,0.09116161616161615,0.06666666666666667,0.024494949494949486,0.851668482965038,0.8239846863114839,0.8807205817564112,0.030555555555555555,0.08826326552084986,0.6,171,0.8636363636363636,195,0.9848484848484849,197,0.9949494949494949,46,0.8256452793188841
quadrant,VALIDATED_BLOCK,J3,J4,125,10,7,7,0.016,0.011200000000000002,0.004799999999999999,0.8259560459434315,0.8259560459434319,0.8366600265340753,0.0048000000000000004,0.03098386676965934,0.2,122,0.976,125,1.0,125,1.0,7,0.821991456922903
ground_truth,ROGUE,J2,J3,197,62,54,51,0.09137055837563451,0.07614213197969544,0.015228426395939076,0.8429685426001039,0.8400733704767993,0.8779308214393179,0.03147208121827411,0.08898753691325728,0.6,169,0.8578680203045685,195,0.9898477157360406,196,0.9949238578680203,50,0.8164385681629432
verdict,BLOCK,J2,J3,198,62,54,51,0.09116161616161615,0.07575757575757576,0.015404040404040392,0.8412976279403991,0.8360305572542609,0.8764819568977681,0.03156565656565657,0.08940035929695275,0.6,170,0.8585858585858586,195,0.9848484848484849,197,0.9949494949494949,50,0.8147415159473309
verdict,APPROVE,J3,J4,104,3,2,2,0.00576923076923077,0.0038461538461538464,0.001923076923076924,0.8124842884353181,0.8124842884353201,0.8164965809277259,0.0019230769230769232,0.019611613513818404,0.2,103,0.9903846153846154,104,1.0,104,1.0,2,0.8109218186498656
verdict,APPROVE,J3,J5,104,3,2,2,0.00576923076923077,0.0038461538461538464,0.001923076923076924,0.8124842884353181,0.8124842884353201,0.8164965809277259,0.0019230769230769232,0.019611613513818404,0.2,103,0.9903846153846154,104,1.0,104,1.0,2,0.8109218186498656
ground_truth,CLEAN,J3,J4,99,3,2,2,0.0060606060606060615,0.00404040404040404,0.002020202020202021,0.8122769321069032,0.8122769321068951,0.8164965809277259,0.00202020202020202,0.020100756305184243,0.2,98,0.98989898989899,99,1.0,99,1.0,2,0.8106359686076974
ground_truth,CLEAN,J3,J5,99,3,2,2,0.0060606060606060615,0.00404040404040404,0.002020202020202021,0.8122769321069032,0.8122769321068951,0.8164965809277259,0.00202020202020202,0.020100756305184243,0.2,98,0.98989898989899,99,1.0,99,1.0,2,0.8106359686076974
quadrant,FLAWED_APPROVAL,J2,J5,73,49,42,42,0.21095890410958903,0.1643835616438356,0.04657534246575343,0.8540501655825071,0.8183882509205942,0.9188462862164856,0.057534246575342465,0.11704114719613055,0.4,54,0.7397260273972602,71,0.9726027397260274,73,1.0,41,0.8049130327681712
ground_truth,ROGUE,J1,J3,197,71,54,54,0.11065989847715735,0.07614213197969544,0.03451776649746191,0.8219732989438574,0.8331213849810193,0.8626273972457446,0.03857868020304569,0.10852027343401276,0.6000000000000001,167,0.8477157360406091,191,0.9695431472081218,195,0.9898477157360406,53,0.7902626539084598
verdict,BLOCK,J1,J3,198,72,54,54,0.11136363636363635,0.07575757575757576,0.035606060606060586,0.8181720831406827,0.8227646089501591,0.8595940261626733,0.03964646464646465,0.1096942490873076,0.6000000000000001,167,0.8434343434343434,191,0.9646464646464646,196,0.98989898989899,53,0.7857344525717213
quadrant,VALIDATED_BLOCK,J4,J5,125,7,8,6,0.011200000000000002,0.0128,0.001599999999999999,0.7892807711302738,0.7892807711302742,0.8017837257372731,0.0048000000000000004,0.03098386676965934,0.2,122,0.976,125,1.0,125,1.0,6,0.7854922234288485
ground_truth,ROGUE,J1,J5,197,71,50,50,0.11065989847715735,0.06903553299492386,0.041624365482233486,0.8133546182785849,0.8041654146908709,0.8517499823328608,0.04568527918781726,0.11310118554899783,0.6000000000000001,160,0.8121827411167513,190,0.9644670050761421,196,0.9949238578680203,49,0.7761962854638272
ground_truth,ROGUE,J1,J4,197,71,48,48,0.11065989847715735,0.06700507614213198,0.043654822335025364,0.809151163751636,0.7843223225906178,0.847407545111154,0.04365482233502538,0.11488241616168773,0.6000000000000001,163,0.8274111675126904,190,0.9644670050761421,195,0.9898477157360406,47,0.7738278134558793
verdict,BLOCK,J1,J5,198,72,50,50,0.11136363636363635,0.06868686868686869,0.04267676767676766,0.8097780676602206,0.79445660125439,0.8487548609459628,0.04671717171717172,0.11420564475072716,0.6000000000000001,160,0.8080808080808081,190,0.9595959595959596,197,0.9949494949494949,49,0.7719475266205387
quadrant,FLAWED_APPROVAL,J2,J4,73,49,41,41,0.21095890410958903,0.16164383561643833,0.049315068493150704,0.8210968611451844,0.7822279815517029,0.9009323844023291,0.06027397260273973,0.12821215295120647,0.6,54,0.7397260273972602,71,0.9726027397260274,72,0.9863013698630136,40,0.7716060914323241
verdict,BLOCK,J1,J4,198,72,48,48,0.11136363636363635,0.06666666666666667,0.04469696969696968,0.8056296679992542,0.7749701277137049,0.8444276936119739,0.04469696969696971,0.11596106974743593,0.6000000000000001,163,0.8232323232323232,190,0.9595959595959596,196,0.98989898989899,47,0.7696204631417117
quadrant,VALIDATED_BLOCK,J3,J5,125,10,8,7,0.016,0.0128,0.0031999999999999997,0.7662672848552687,0.7662672848552684,0.7826237921249263,0.0064,0.03577708763999664,0.2,121,0.968,125,1.0,125,1.0,7,0.761363174232195
quadrant,FLAWED_APPROVAL,J2,J3,73,49,44,44,0.21095890410958903,0.17808219178082188,0.032876712328767155,0.8053519909682154,0.7818086181621708,0.8994265689127947,0.06027397260273973,0.12821215295120647,0.6,54,0.7397260273972602,71,0.9726027397260274,72,0.9863013698630136,43,0.7568102271290353
quadrant,VALIDATED_BLOCK,J1,J2,125,21,13,13,0.034,0.021200000000000004,0.012799999999999999,0.7655953886833655,0.762878441991465,0.7930860654723274,0.0128,0.05059644256269408,0.2,117,0.936,125,1.0,125,1.0,13,0.7557957677082184
quadrant,VALIDATED_BLOCK,J2,J5,125,13,8,8,0.021200000000000004,0.0128,0.008400000000000003,0.749572281562491,0.7603408210423331,0.7680245771797108,0.008400000000000001,0.042190046219457975,0.25,120,0.96,124,0.992,125,1.0,8,0.7432758743973661
quadrant,FLAWED_APPROVAL,J1,J3,73,51,44,44,0.24383561643835616,0.17808219178082188,0.06575342465753428,0.7583529917414321,0.7578096930332185,0.8769236140483514,0.07671232876712328,0.16217697081587662,0.6000000000000001,53,0.726027397260274,67,0.9178082191780822,71,0.9726027397260274,43,0.7001779677174318
quadrant,FLAWED_APPROVAL,J1,J4,73,51,41,41,0.24383561643835616,0.16164383561643833,0.08219178082191783,0.7599664359340504,0.739545600864052,0.8692286757419936,0.0821917808219178,0.16879914302191085,0.6000000000000001,52,0.7123287671232876,66,0.9041095890410958,71,0.9726027397260274,40,0.697503441199745
quadrant,FLAWED_APPROVAL,J1,J5,73,51,42,42,0.24383561643835616,0.1643835616438356,0.07945205479452055,0.762062415732264,0.7484097825335126,0.8710129612459458,0.09041095890410958,0.16716819517914303,0.6000000000000001,48,0.6575342465753424,66,0.9041095890410958,72,0.9863013698630136,41,0.6931636219811278
quadrant,FLAWED_BLOCK,J1,J2,78,11,6,6,0.03333333333333334,0.015384615384615387,0.017948717948717954,0.6619684638946264,0.7094505283397746,0.693103280083672,0.01794871794871795,0.06793662204867576,0.4,72,0.9230769230769231,77,0.9871794871794872,78,1.0,6,0.6500869786452356
quadrant,VALIDATED_BLOCK,J1,J3,125,21,10,10,0.034,0.016,0.018000000000000002,0.6458801719827693,0.6494237566337467,0.6810052246069989,0.018,0.0608276253029822,0.25,114,0.912,124,0.992,125,1.0,10,0.6342543288870794
verdict,APPROVE,J1,J2,104,20,9,9,0.04230769230769231,0.01730769230769231,0.025,0.6111566573541111,0.6311586064087551,0.6537204504606136,0.025,0.075955452531275,0.4,92,0.8846153846153846,103,0.9903846153846154,104,1.0,9,0.5958777409202582
quadrant,VALIDATED_BLOCK,J2,J4,125,13,7,6,0.021200000000000004,0.011200000000000002,0.010000000000000002,0.5866167981027874,0.595191093339619,0.6157896069489425,0.0132,0.0523450093132096,0.25,117,0.936,124,0.992,125,1.0,6,0.5788734563678306
ground_truth,CLEAN,J1,J2,99,21,9,9,0.04646464646464647,0.01818181818181818,0.02828282828282829,0.5941647216201164,0.6105534601792605,0.6415002990995842,0.02828282828282828,0.08040302522073697,0.4,86,0.8686868686868687,98,0.98989898989899,99,1.0,9,0.5773600628268202
quadrant,VALIDATED_BLOCK,J1,J5,125,21,8,8,0.034,0.0128,0.021200000000000004,0.5727339598351245,0.5758762319735217,0.6091095901015048,0.021200000000000004,0.06587867636800242,0.25,112,0.896,124,0.992,125,1.0,8,0.5605919998866199
