rule_a,rule_b,cases,active_cases_a,active_cases_b,both_active_cases,mean_a,mean_b,prevalence_gap,pearson,spearman,cosine,mae,rmse,max_abs_diff,exact_same_cases,exact_same_rate,within_20pp_cases,within_20pp_rate,within_40pp_cases,within_40pp_rate,both_variable_cases,profile_score
J4,S1,78,2,77,2,0.005128205128205128,0.9846153846153846,0.9794871794871794,0.02180794710084676,0.026313570136596253,0.16154266743780962,0.9794871794871796,0.9865765724632495,1.0,1,0.01282051282051282,1,0.01282051282051282,1,0.01282051282051282,0,0.00044734250463275246
J5,S1,78,2,77,2,0.005128205128205128,0.9846153846153846,0.9794871794871794,0.02180794710084676,0.026313570136596253,0.16154266743780962,0.9794871794871796,0.9865765724632495,1.0,1,0.01282051282051282,1,0.01282051282051282,1,0.01282051282051282,0,0.00044734250463275246
S1,U2,78,77,2,2,0.9846153846153846,0.005128205128205128,0.9794871794871794,0.021807947100846728,0.026313570136596253,0.16154266743780962,0.9794871794871796,0.9865765724632495,1.0,1,0.01282051282051282,1,0.01282051282051282,1,0.01282051282051282,0,0.0004473425046327518
F1,F2,78,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,1.0,78,1.0,78,1.0,0,0.0
F1,F3,78,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,1.0,78,1.0,78,1.0,0,0.0
F2,F3,78,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,1.0,78,1.0,78,1.0,0,0.0
F1,J3,78,0,2,0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.005128205128205128,0.03202563076101743,0.2,76,0.9743589743589743,78,1.0,78,1.0,0,0.0
F1,J4,78,0,2,0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.005128205128205128,0.03202563076101743,0.2,76,0.9743589743589743,78,1.0,78,1.0,0,0.0
F1,J5,78,0,2,0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.005128205128205128,0.03202563076101743,0.2,76,0.9743589743589743,78,1.0,78,1.0,0,0.0
F1,U2,78,0,2,0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.005128205128205128,0.03202563076101743,0.2,76,0.9743589743589743,78,1.0,78,1.0,0,0.0
F2,J3,78,0,2,0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.005128205128205128,0.03202563076101743,0.2,76,0.9743589743589743,78,1.0,78,1.0,0,0.0
F2,J4,78,0,2,0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.005128205128205128,0.03202563076101743,0.2,76,0.9743589743589743,78,1.0,78,1.0,0,0.0
F2,J5,78,0,2,0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.005128205128205128,0.03202563076101743,0.2,76,0.9743589743589743,78,1.0,78,1.0,0,0.0
F2,U2,78,0,2,0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.005128205128205128,0.03202563076101743,0.2,76,0.9743589743589743,78,1.0,78,1.0,0,0.0
F3,J3,78,0,2,0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.005128205128205128,0.03202563076101743,0.2,76,0.9743589743589743,78,1.0,78,1.0,0,0.0
F3,J4,78,0,2,0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.005128205128205128,0.03202563076101743,0.2,76,0.9743589743589743,78,1.0,78,1.0,0,0.0
F3,J5,78,0,2,0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.005128205128205128,0.03202563076101743,0.2,76,0.9743589743589743,78,1.0,78,1.0,0,0.0
F3,U2,78,0,2,0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.005128205128205128,0.03202563076101743,0.2,76,0.9743589743589743,78,1.0,78,1.0,0,0.0
F1,J2,78,0,6,0,0.0,0.015384615384615387,0.015384615384615387,0.0,0.0,0.0,0.015384615384615387,0.05547001962252292,0.2,72,0.9230769230769231,78,1.0,78,1.0,0,0.0
F2,J2,78,0,6,0,0.0,0.015384615384615387,0.015384615384615387,0.0,0.0,0.0,0.015384615384615387,0.05547001962252292,0.2,72,0.9230769230769231,78,1.0,78,1.0,0,0.0
F3,J2,78,0,6,0,0.0,0.015384615384615387,0.015384615384615387,0.0,0.0,0.0,0.015384615384615387,0.05547001962252292,0.2,72,0.9230769230769231,78,1.0,78,1.0,0,0.0
F1,J1,78,0,11,0,0.0,0.03333333333333334,0.03333333333333334,0.0,0.0,0.0,0.03333333333333334,0.09336995618478526,0.4,67,0.8589743589743589,76,0.9743589743589743,78,1.0,0,0.0
