antecedent,consequent,antecedent_active_cases,case_support_confidence,mean_consequent_rate_when_active,mean_rate_gap_when_active,cases_with_a_rate_gt_b_rate,cases_with_a_rate_le_b_rate
J1,J5,72,0.6944444444444444,0.18888888888888888,0.12291666666666666,36,36
J4,F3,48,0.6875,0.2875,0.10833333333333334,20,28
J3,F3,54,0.6666666666666666,0.2703703703703703,0.11851851851851852,23,31
J1,J4,72,0.6666666666666666,0.18333333333333332,0.12291666666666669,35,37
J1,F3,72,0.6666666666666666,0.27638888888888885,0.1388888888888889,35,37
J2,F3,62,0.6612903225806451,0.2790322580645161,0.12258064516129033,32,30
J5,F3,50,0.66,0.284,0.11600000000000002,22,28
H1,J1,184,0.3858695652173913,0.11875000000000001,0.42246376811594205,169,15
S1,J1,13,0.38461538461538464,0.0923076923076923,0.1576923076923077,8,5
S1,J2,13,0.38461538461538464,0.0923076923076923,0.1576923076923077,8,5
F2,J1,197,0.36548223350253806,0.11192893401015228,0.873942470389171,196,1
U3,J1,198,0.36363636363636365,0.11136363636363635,0.8058922558922559,194,4
U1,J1,198,0.36363636363636365,0.11136363636363635,0.8825757575757576,197,1
U4,J1,194,0.36082474226804123,0.11159793814432989,0.5052405498281788,167,27
F1,J1,194,0.36082474226804123,0.10953608247422682,0.725085910652921,186,8
F3,J1,144,0.3333333333333333,0.10868055555555557,0.3614583333333333,119,25
H1,J2,184,0.33152173913043476,0.0970108695652174,0.44202898550724645,175,9
F2,J2,197,0.3147208121827411,0.09162436548223349,0.8942470389170897,196,1
U3,J2,198,0.31313131313131315,0.09116161616161615,0.8250841750841751,196,2
U1,J2,198,0.31313131313131315,0.09116161616161615,0.9027777777777778,197,1
U4,J2,194,0.30927835051546393,0.09097938144329897,0.5217353951890035,173,21
F1,J2,194,0.30927835051546393,0.08891752577319588,0.7446735395189004,190,4
S1,J3,13,0.3076923076923077,0.07692307692307693,0.17307692307692307,9,4
S1,J4,13,0.3076923076923077,0.07692307692307693,0.17307692307692307,9,4
H1,J3,184,0.29347826086956524,0.08152173913043478,0.45643115942028983,178,6
F3,J2,144,0.2847222222222222,0.0920138888888889,0.37256944444444445,123,21
F2,J3,197,0.27411167512690354,0.07614213197969544,0.9097292724196278,196,1
U3,J3,198,0.2727272727272727,0.07575757575757576,0.8404882154882154,197,1
U1,J3,198,0.2727272727272727,0.07575757575757576,0.9181818181818182,197,1
H1,J5,184,0.2717391304347826,0.07391304347826087,0.4640398550724637,180,4
U4,J3,194,0.26804123711340205,0.0752577319587629,0.5333333333333333,175,19
F1,J3,194,0.26804123711340205,0.07422680412371134,0.7593642611683848,190,4
H1,J4,184,0.2608695652173913,0.07173913043478261,0.4662137681159421,178,6
F2,J5,197,0.25380710659898476,0.06903553299492386,0.9168358714043994,196,1
U3,J5,198,0.25252525252525254,0.06868686868686869,0.8475589225589225,197,1
U1,J5,198,0.25252525252525254,0.06868686868686869,0.9252525252525252,197,1
F3,J3,144,0.25,0.07083333333333333,0.38541666666666674,126,18
U4,J5,194,0.24742268041237114,0.06804123711340207,0.5405498281786942,177,17
F1,J5,194,0.24742268041237114,0.06597938144329897,0.7676116838487973,190,4
F2,J4,197,0.2436548223350254,0.06700507614213197,0.9188663282571912,196,1
U3,J4,198,0.24242424242424243,0.06666666666666667,0.8495791245791244,197,1
U1,J4,198,0.24242424242424243,0.06666666666666667,0.9272727272727274,197,1
U4,J4,194,0.23711340206185566,0.06597938144329897,0.5415807560137457,177,17
F1,J4,194,0.23711340206185566,0.06494845360824741,0.7686426116838487,191,3
S1,J5,13,0.23076923076923078,0.04615384615384616,0.18846153846153849,10,3
F3,J4,144,0.22916666666666666,0.06666666666666668,0.3895833333333334,128,16
F3,J5,144,0.22916666666666666,0.06527777777777778,0.3909722222222223,129,15
J4,S1,48,0.08333333333333333,0.016666666666666666,0.25833333333333336,45,3
J2,S1,62,0.08064516129032258,0.016129032258064516,0.2749999999999999,58,4
F3,S1,144,0.0763888888888889,0.01701388888888889,0.4295138888888889,137,7
J3,S1,54,0.07407407407407407,0.014814814814814815,0.2629629629629629,51,3
J1,S1,72,0.06944444444444445,0.013888888888888888,0.2923611111111112,68,4
U4,S1,194,0.06701030927835051,0.015721649484536082,0.5846219931271477,192,2
F1,S1,194,0.06701030927835051,0.015721649484536082,0.8178694158075601,193,1
F2,S1,197,0.06598984771573604,0.015482233502538072,0.9703891708967852,197,0
U3,S1,198,0.06565656565656566,0.015404040404040406,0.8988215488215489,198,0
U1,S1,198,0.06565656565656566,0.015404040404040406,0.9785353535353535,198,0
J5,S1,50,0.06,0.012000000000000002,0.25999999999999995,47,3
H1,S1,184,0.059782608695652176,0.014130434782608699,0.5227355072463769,179,5
S1,U2,13,0.0,0.0,0.23461538461538467,13,0
J5,U2,50,0.0,0.0,0.272,50,0
J4,U2,48,0.0,0.0,0.27499999999999997,48,0
J3,U2,54,0.0,0.0,0.27777777777777773,54,0
J2,U2,62,0.0,0.0,0.2911290322580644,62,0
J1,U2,72,0.0,0.0,0.3062500000000001,72,0
F3,U2,144,0.0,0.0,0.44513888888888886,144,0
H1,U2,184,0.0,0.0,0.5368659420289855,184,0
U4,U2,194,0.0,0.0,0.6003436426116838,194,0
F1,U2,194,0.0,0.0,0.833591065292096,194,0
U3,U2,198,0.0,0.0,0.9142255892255893,198,0
F2,U2,197,0.0,0.0,0.9858714043993233,197,0
U1,U2,198,0.0,0.0,0.993939393939394,198,0
