rule_a,rule_b,cases,active_cases_a,active_cases_b,both_active_cases,mean_a,mean_b,prevalence_gap,pearson,spearman,cosine,mae,rmse,max_abs_diff,exact_same_cases,exact_same_rate,within_20pp_cases,within_20pp_rate,within_40pp_cases,within_40pp_rate,both_variable_cases,profile_score
J3,U2,73,44,0,0,0.17808219178082188,0.0,0.17808219178082188,0.0,0.0,0.0,0.17808219178082188,0.2617119612951069,1.0,29,0.3972602739726027,58,0.7945205479452054,69,0.9452054794520548,0,0.0
J2,U2,73,49,0,0,0.21095890410958903,0.0,0.21095890410958903,0.0,0.0,0.0,0.21095890410958903,0.29330427419366734,1.0,24,0.3287671232876712,54,0.7397260273972602,66,0.9041095890410958,0,0.0
J1,U2,73,51,0,0,0.24383561643835616,0.0,0.24383561643835616,0.0,0.0,0.0,0.24383561643835616,0.3318689294004033,1.0,22,0.3013698630136986,49,0.6712328767123288,62,0.8493150684931506,0,0.0
H1,U1,73,73,73,73,0.6958904109589041,1.0,0.30410958904109586,0.0,0.0,0.9584837416850871,0.3041095890410958,0.3678892030943891,0.8,13,0.1780821917808219,38,0.5205479452054794,58,0.7945205479452054,0,0.0
F3,U2,73,55,0,0,0.34520547945205476,0.0,0.34520547945205476,0.0,0.0,0.0,0.34520547945205476,0.4366748578826692,0.8,18,0.2465753424657534,32,0.4383561643835616,53,0.726027397260274,0,0.0
U2,U4,73,0,71,0,0.0,0.4712328767123288,0.4712328767123288,0.0,0.0,0.0,0.4712328767123288,0.5223760257982435,1.0,2,0.0273972602739726,18,0.2465753424657534,42,0.5753424657534246,0,0.0
U1,U4,73,73,71,71,1.0,0.4712328767123288,0.5287671232876712,0.0,0.0,0.9020951449527898,0.5287671232876713,0.5748138471749873,1.0,1,0.0136986301369863,14,0.1917808219178082,31,0.4246575342465753,0,0.0
F3,U1,73,55,73,55,0.34520547945205476,1.0,0.6547945205479453,0.0,0.0,0.7905320703048322,0.6547945205479453,0.7073004825410059,1.0,0,0.0,10,0.136986301369863,20,0.273972602739726,0,0.0
H1,U2,73,73,0,0,0.6958904109589041,0.0,0.6958904109589041,0.0,0.0,0.0,0.6958904109589041,0.7260325665362629,1.0,0,0.0,1,0.0136986301369863,15,0.2054794520547945,0,0.0
J1,U1,73,51,73,51,0.24383561643835616,1.0,0.7561643835616438,0.0,0.0,0.7347346944436788,0.7561643835616438,0.7889649887191812,1.0,1,0.0136986301369863,2,0.0273972602739726,11,0.1506849315068493,0,0.0
J2,U1,73,49,73,49,0.21095890410958903,1.0,0.7890410958904109,0.0,0.0,0.7192493348061266,0.7890410958904108,0.8149291926548563,1.0,1,0.0136986301369863,1,0.0136986301369863,7,0.0958904109589041,0,0.0
J3,U1,73,44,73,44,0.17808219178082188,1.0,0.8219178082191781,0.0,0.0,0.6804510993672779,0.821917808219178,0.8439957151095543,1.0,1,0.0136986301369863,1,0.0136986301369863,4,0.0547945205479452,0,0.0
J5,U1,73,42,73,42,0.1643835616438356,1.0,0.8356164383561644,0.0,0.0,0.652019862276467,0.8356164383561644,0.8572015635473056,1.0,1,0.0136986301369863,1,0.0136986301369863,5,0.0684931506849315,0,0.0
J4,U1,73,41,73,41,0.16164383561643833,1.0,0.8383561643835616,0.0,0.0,0.6496079927990426,0.8383561643835615,0.8594359411767124,1.0,1,0.0136986301369863,1,0.0136986301369863,4,0.0547945205479452,0,0.0
F1,U2,73,71,0,0,0.8684931506849314,0.0,0.8684931506849314,0.0,0.0,0.0,0.8684931506849314,0.895345651475696,1.0,2,0.0273972602739726,2,0.0273972602739726,4,0.0547945205479452,0,0.0
U2,U3,73,0,73,0,0.0,0.895890410958904,0.895890410958904,0.0,0.0,0.0,0.895890410958904,0.9068989764161484,1.0,0,0.0,0,0.0,1,0.0136986301369863,0,0.0
F2,U2,73,73,0,0,0.9863013698630136,0.0,0.9863013698630136,0.0,0.0,0.0,0.9863013698630136,0.9875942819566265,1.0,0,0.0,0,0.0,0,0.0,0,0.0
S1,U1,73,3,73,3,0.008219178082191782,1.0,0.9917808219178083,0.0,0.0,0.2027212135198458,0.9917808219178083,0.9925751757182197,1.0,0,0.0,0,0.0,0,0.0,0,0.0
U1,U2,73,73,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
F1,S1,73,71,3,3,0.8684931506849314,0.008219178082191782,0.8602739726027396,-0.0017374234091417865,-0.0038045337864936798,0.196227812235748,0.8602739726027396,0.8882798522371264,1.0,2,0.0273972602739726,2,0.0273972602739726,5,0.0684931506849315,1,-0.00024276327086638678
S1,U4,73,3,71,3,0.008219178082191782,0.4712328767123288,0.46301369863013697,-0.004193397410053596,-0.013541439380010305,0.18110178933147764,0.46301369863013697,0.5165745977770231,1.0,3,0.0410958904109589,19,0.2602739726027397,42,0.5753424657534246,3,-0.0022517969653986433
J5,U4,73,42,71,40,0.1643835616438356,0.4712328767123288,0.30684931506849317,-0.004703207557454411,0.01610385415321392,0.5866450988091461,0.3616438356164383,0.42651823902287944,1.0,11,0.1506849315068493,26,0.3561643835616438,54,0.7397260273972602,39,-0.0030023215366763775
F2,S1,73,73,3,3,0.9863013698630136,0.008219178082191782,0.9780821917808219,-0.2170595446838844,-0.2170595446838847,0.19158319302639065,0.978082191780822,0.9806344046669169,1.0,0,0.0,0,0.0,0,0.0,1,-0.004757469472523474
F3,U4,73,55,71,54,0.34520547945205476,0.4712328767123288,0.126027397260274,-0.00796865024392618,0.037204376974612326,0.7110291694468479,0.2958904109589041,0.37306578802106855,1.0,15,0.2054794520547945,35,0.4794520547945205,61,0.8356164383561644,54,-0.005610803048463091
F2,J3,73,73,44,44,0.9863013698630136,0.17808219178082188,0.8082191780821918,-0.030990065402665173,-0.09650674540163152,0.6783986432040705,0.8082191780821918,0.8325567157446434,1.0,1,0.0136986301369863,1,0.0136986301369863,4,0.0547945205479452,5,-0.005943300214209759
J4,U4,73,41,71,39,0.16164383561643833,0.4712328767123288,0.30958904109589047,-0.013024745978782188,0.00208198168051279,0.5817349992393572,0.35890410958904106,0.4284409455638157,1.0,13,0.1780821917808219,26,0.3561643835616438,53,0.726027397260274,38,-0.008350111120643924
F2,J4,73,73,41,41,0.9863013698630136,0.16164383561643833,0.8246575342465753,-0.054978192568626016,-0.13943081713335184,0.6466194666205987,0.8246575342465753,0.8482051961610001,1.0,1,0.0136986301369863,1,0.0136986301369863,4,0.0547945205479452,5,-0.009640011847649496
F2,J1,73,73,51,51,0.9863013698630136,0.24383561643835616,0.7424657534246575,-0.043560039029812536,-0.09418967566664374,0.7322612972241371,0.7424657534246575,0.7781256017217237,1.0,1,0.0136986301369863,2,0.0273972602739726,13,0.1780821917808219,5,-0.011218201832335286
