rule_a,rule_b,cases,active_cases_a,active_cases_b,both_active_cases,mean_a,mean_b,prevalence_gap,pearson,spearman,cosine,mae,rmse,max_abs_diff,exact_same_cases,exact_same_rate,within_20pp_cases,within_20pp_rate,within_40pp_cases,within_40pp_rate,both_variable_cases,profile_score
H1,J3,125,111,10,10,0.38386666666666674,0.016,0.36786666666666673,0.06773750687246757,0.10890559589440059,0.2734892393964261,0.36786666666666673,0.4429321493060635,1.0,15,0.12,54,0.432,94,0.752,10,0.04281913601098249
H1,U3,125,111,125,111,0.38386666666666674,0.9249333333333334,0.5410666666666666,0.06863750273187846,0.07850979327464175,0.8413321520380483,0.5474666666666665,0.6023029876141152,1.0,4,0.032,16,0.128,51,0.408,36,0.031060757902932744
J4,S1,125,7,10,1,0.011200000000000002,0.019600000000000003,0.008400000000000001,0.03116525972239661,0.05331364273466307,0.09287269204251442,0.027600000000000003,0.08306623862918076,0.4,110,0.88,122,0.976,125,1.0,1,0.030305098554058465
F3,U1,125,89,125,89,0.31120000000000003,0.9904000000000001,0.6792,0.09134964342302093,0.07053132392146799,0.7545773796661859,0.6791999999999999,0.7320382503667414,1.0,4,0.032,13,0.104,28,0.224,3,0.02930496561010512
H1,J4,125,111,7,7,0.38386666666666674,0.011200000000000002,0.37266666666666676,0.044557323798893975,0.07520839723296738,0.2228742022307124,0.37266666666666676,0.4468880048612727,1.0,15,0.12,52,0.416,93,0.744,7,0.02795229446317282
F3,U3,125,89,125,89,0.31120000000000003,0.9249333333333334,0.6137333333333334,0.053401536063270125,0.05158217415151105,0.7506808859538698,0.6169333333333334,0.6795112622727865,1.0,6,0.048,17,0.136,39,0.312,27,0.02045634841463667
J5,S1,125,8,10,1,0.0128,0.019600000000000003,0.006800000000000002,0.020139419714899475,0.04045166513381316,0.08687444855261386,0.029200000000000004,0.084970583144992,0.4,109,0.872,122,0.976,125,1.0,1,0.01955134865922441
F1,S1,125,123,10,10,0.7865333333333333,0.019600000000000003,0.7669333333333334,0.07821600606379411,0.11929713203921183,0.27932144488143773,0.7669333333333332,0.8098367462368916,1.0,3,0.024,10,0.08,19,0.152,3,0.018229543813268287
S1,U4,125,10,123,10,0.019600000000000003,0.6565333333333332,0.6369333333333332,0.03933569221099061,0.04228290720217015,0.26614109058721414,0.6369333333333331,0.6820377962807894,1.0,3,0.024,13,0.104,30,0.24,9,0.014281478652070334
F2,J1,125,124,21,21,0.9777333333333333,0.034,0.9437333333333333,0.05545818765058826,0.044953398812980175,0.41236776316493956,0.9437333333333333,0.952006069074959,1.0,1,0.008,1,0.008,1,0.008,1,0.0031204473584731007
J2,U1,125,13,125,13,0.021200000000000004,0.9904000000000001,0.9692000000000001,0.05852908156703892,0.061909387744881396,0.3244094128739414,0.9692000000000001,0.9725944684193921,1.0,0,0.0,0,0.0,0,0.0,0,0.001802695712264795
U3,U4,125,125,123,123,0.9249333333333334,0.6565333333333332,0.2684000000000002,0.002333352135208628,-0.02830889109359114,0.9331984212587233,0.2948,0.3769615364994154,1.0,27,0.216,57,0.456,100,0.8,34,0.0016454799257491245
J3,S1,125,10,10,1,0.016,0.019600000000000003,0.0036000000000000025,0.0016823339205489696,0.019116078181022098,0.07770286898858111,0.032400000000000005,0.08865664103720601,0.4,107,0.856,122,0.976,125,1.0,1,0.001627826301523183
F2,J2,125,124,13,13,0.9777333333333333,0.021200000000000004,0.9565333333333333,0.023443102653101126,-0.003260305518115654,0.3223463812751766,0.9565333333333333,0.9640308893160818,1.0,1,0.008,1,0.008,1,0.008,1,0.0010189935286547952
J5,U1,125,8,125,8,0.0128,0.9904000000000001,0.9776,0.045029172875303725,0.04753702001664116,0.2550306852253353,0.9776,0.9802856726485397,1.0,0,0.0,0,0.0,0,0.0,0,0.0010086534724068022
J4,U1,125,7,125,7,0.011200000000000002,0.9904000000000001,0.9792000000000001,0.04194207604873145,0.0442779909413246,0.23855936180684895,0.9792000000000001,0.9817535332251166,1.0,0,0.0,0,0.0,0,0.0,0,0.0008723951818136112
F2,J3,125,124,10,10,0.9777333333333333,0.016,0.9617333333333333,0.006427823461992888,-0.0291855659349453,0.2819085441128517,0.9617333333333334,0.9688217356952494,1.0,1,0.008,1,0.008,1,0.008,1,0.00024597137781226053
J4,U2,125,7,0,0,0.011200000000000002,0.0,0.011200000000000002,0.0,0.0,0.0,0.011200000000000002,0.047328638264796934,0.2,118,0.944,125,1.0,125,1.0,0,0.0
J5,U2,125,8,0,0,0.0128,0.0,0.0128,0.0,0.0,0.0,0.0128,0.05059644256269408,0.2,117,0.936,125,1.0,125,1.0,0,0.0
