antecedent,consequent,antecedent_active_cases,case_support_confidence,mean_consequent_rate_when_active,mean_rate_gap_when_active,cases_with_a_rate_gt_b_rate,cases_with_a_rate_le_b_rate
U4,S1,123,0.08130081300813008,0.01991869918699187,0.6472899728997289,122,1
U4,J3,123,0.08130081300813008,0.016260162601626018,0.6509485094850948,122,1
F1,S1,123,0.08130081300813008,0.01991869918699187,0.7794037940379404,122,1
F1,J3,123,0.08130081300813008,0.016260162601626018,0.7830623306233063,122,1
F2,S1,124,0.08064516129032258,0.019758064516129034,0.9658602150537635,124,0
F2,J3,124,0.08064516129032258,0.016129032258064516,0.9694892473118281,124,0
U3,S1,125,0.08,0.019600000000000003,0.9053333333333333,125,0
U3,J3,125,0.08,0.016,0.9089333333333333,125,0
U1,S1,125,0.08,0.019600000000000003,0.9708,125,0
U1,J3,125,0.08,0.016,0.9744,125,0
F3,J3,89,0.07865168539325842,0.015730337078651686,0.42134831460674155,86,3
H1,S1,111,0.07207207207207207,0.018018018018018018,0.4142642642642644,106,5
H1,J5,111,0.07207207207207207,0.014414414414414415,0.417867867867868,110,1
U4,J5,123,0.06504065040650407,0.013008130081300813,0.65420054200542,122,1
F1,J5,123,0.06504065040650407,0.013008130081300813,0.7863143631436313,121,2
F2,J5,124,0.06451612903225806,0.012903225806451613,0.9727150537634408,124,0
U3,J5,125,0.064,0.0128,0.9121333333333334,125,0
U1,J5,125,0.064,0.0128,0.9776,125,0
H1,J4,111,0.06306306306306306,0.012612612612612612,0.41966966966966984,110,1
U4,J4,123,0.056910569105691054,0.011382113821138212,0.6558265582655824,123,0
F1,J4,123,0.056910569105691054,0.01138211382113821,0.7879403794037939,122,1
F2,J4,124,0.056451612903225805,0.011290322580645162,0.9743279569892472,124,0
F3,J4,89,0.056179775280898875,0.011235955056179775,0.42584269662921354,87,2
F3,J5,89,0.056179775280898875,0.011235955056179775,0.42584269662921354,88,1
U3,J4,125,0.056,0.011200000000000002,0.9137333333333334,125,0
U1,J4,125,0.056,0.011200000000000002,0.9792000000000001,125,0
J4,U2,7,0.0,0.0,0.19999999999999998,7,0
J3,U2,10,0.0,0.0,0.2,10,0
J5,U2,8,0.0,0.0,0.2,8,0
J1,U2,21,0.0,0.0,0.2023809523809524,21,0
J2,U2,13,0.0,0.0,0.20384615384615387,13,0
S1,U2,10,0.0,0.0,0.24500000000000002,10,0
H1,U2,111,0.0,0.0,0.4322822822822824,111,0
F3,U2,89,0.0,0.0,0.43707865168539334,89,0
U4,U2,123,0.0,0.0,0.6672086720867207,123,0
F1,U2,123,0.0,0.0,0.7993224932249322,123,0
U3,U2,125,0.0,0.0,0.9249333333333334,125,0
F2,U2,124,0.0,0.0,0.9856182795698925,124,0
