antecedent,consequent,antecedent_active_cases,case_support_confidence,mean_consequent_rate_when_active,mean_rate_gap_when_active,cases_with_a_rate_gt_b_rate,cases_with_a_rate_le_b_rate
U1,J3,197,0.27411167512690354,0.07614213197969544,0.914720812182741,196,1
H1,J5,184,0.2717391304347826,0.07391304347826087,0.45652173913043476,180,4
F1,J3,192,0.2708333333333333,0.075,0.7552083333333334,188,4
U4,J3,194,0.26804123711340205,0.07525773195876288,0.5319587628865979,175,19
H1,J4,184,0.2608695652173913,0.07173913043478261,0.45869565217391306,178,6
F2,J5,196,0.25510204081632654,0.06938775510204083,0.9091836734693877,195,1
U3,J5,197,0.25380710659898476,0.06903553299492386,0.8395939086294415,196,1
U1,J5,197,0.25380710659898476,0.06903553299492386,0.9218274111675125,196,1
F3,J3,143,0.2517482517482518,0.07132867132867132,0.38321678321678326,125,18
F1,J5,192,0.25,0.06666666666666667,0.7635416666666667,188,4
U4,J5,194,0.24742268041237114,0.06804123711340206,0.5391752577319587,177,17
F2,J4,196,0.24489795918367346,0.0673469387755102,0.9112244897959183,195,1
U3,J4,197,0.2436548223350254,0.06700507614213198,0.8416243654822335,196,1
U1,J4,197,0.2436548223350254,0.06700507614213198,0.9238578680203046,196,1
F1,J4,192,0.23958333333333334,0.065625,0.7645833333333333,189,3
U4,J4,194,0.23711340206185566,0.06597938144329897,0.5402061855670104,177,17
S1,J3,17,0.23529411764705882,0.058823529411764705,0.2705882352941177,13,4
S1,J4,17,0.23529411764705882,0.058823529411764705,0.2705882352941177,13,4
F3,J4,143,0.23076923076923078,0.06713286713286715,0.38741258741258744,127,16
F3,J5,143,0.23076923076923078,0.06573426573426573,0.38881118881118887,128,15
S1,J5,17,0.17647058823529413,0.03529411764705883,0.2823529411764706,14,3
J2,S1,62,0.0967741935483871,0.019354838709677424,0.27096774193548384,57,5
F3,S1,143,0.09090909090909091,0.02377622377622378,0.4251748251748252,135,8
U4,S1,194,0.08762886597938144,0.02783505154639175,0.5752577319587628,190,4
U3,S1,197,0.08629441624365482,0.027411167512690352,0.8812182741116751,195,2
U1,S1,197,0.08629441624365482,0.027411167512690352,0.9644670050761421,196,1
J1,S1,71,0.08450704225352113,0.016901408450704227,0.2901408450704225,66,5
J4,S1,48,0.08333333333333333,0.016666666666666666,0.25833333333333336,45,3
F1,S1,192,0.08333333333333333,0.02291666666666667,0.8104166666666668,189,3
F2,S1,196,0.08163265306122448,0.022448979591836737,0.9571428571428573,194,2
H1,S1,184,0.08152173913043478,0.026086956521739136,0.5076086956521739,176,8
J3,S1,54,0.07407407407407407,0.014814814814814815,0.2629629629629629,51,3
J5,S1,50,0.06,0.012000000000000002,0.25999999999999995,47,3
J5,U2,50,0.0,0.0,0.272,50,0
J4,U2,48,0.0,0.0,0.27499999999999997,48,0
J3,U2,54,0.0,0.0,0.27777777777777773,54,0
J2,U2,62,0.0,0.0,0.2903225806451612,62,0
J1,U2,71,0.0,0.0,0.30704225352112674,71,0
S1,U2,17,0.0,0.0,0.31764705882352945,17,0
F3,U2,143,0.0,0.0,0.4433566433566434,143,0
H1,U2,184,0.0,0.0,0.5293478260869565,184,0
U4,U2,194,0.0,0.0,0.5989690721649484,194,0
F1,U2,192,0.0,0.0,0.8302083333333335,192,0
U3,U2,197,0.0,0.0,0.9065989847715737,197,0
F2,U2,196,0.0,0.0,0.9785714285714286,196,0
U1,U2,197,0.0,0.0,0.9908629441624365,197,0
