rule_a,rule_b,n,n11,support_a,support_b,p_a,p_b,p_a_given_b,p_b_given_a,jaccard,phi
J4,U1,1480,68,68,1317,0.04594594594594595,0.8898648648648648,0.051632498101746395,1.0,0.051632498101746395,0.07720368368932665
J4,U3,1480,52,68,1080,0.04594594594594595,0.7297297297297297,0.04814814814814815,0.7647058823529411,0.04744525547445255,0.01728339220632741
J5,U3,1480,51,70,1080,0.0472972972972973,0.7297297297297297,0.04722222222222222,0.7285714285714285,0.04640582347588717,-0.0005811400364620055
J2,U4,1480,36,99,762,0.06689189189189189,0.5148648648648648,0.047244094488188976,0.36363636363636365,0.04363636363636364,-0.08101704777806669
J1,S1,1480,22,132,514,0.0891891891891892,0.3472972972972973,0.042801556420233464,0.16666666666666666,0.035256410256410256,-0.1187203068304188
J3,U4,1480,26,78,762,0.052702702702702706,0.5148648648648648,0.03412073490813648,0.3333333333333333,0.03194103194103194,-0.08567367052623377
J4,U4,1480,23,68,762,0.04594594594594595,0.5148648648648648,0.030183727034120734,0.3382352941176471,0.028500619578686492,-0.07755727276727875
J5,U4,1480,23,70,762,0.0472972972972973,0.5148648648648648,0.030183727034120734,0.32857142857142857,0.02843016069221261,-0.0830537076621162
J2,S1,1480,10,99,514,0.06689189189189189,0.3472972972972973,0.019455252918287938,0.10101010101010101,0.01658374792703151,-0.13850140705873018
F2,S1,1480,14,964,514,0.6513513513513514,0.3472972972972973,0.027237354085603113,0.014522821576763486,0.009562841530054645,-0.9553340710642985
F1,S1,1480,11,800,514,0.5405405405405406,0.3472972972972973,0.021400778210116732,0.01375,0.00844205679201842,-0.7598704497953116
J3,S1,1480,3,78,514,0.052702702702702706,0.3472972972972973,0.005836575875486381,0.038461538461538464,0.0050933786078098476,-0.15300036503768935
S1,U2,1480,2,514,2,0.3472972972972973,0.0013513513513513514,1.0,0.0038910505836575876,0.0038910505836575876,0.050429514199967024
J4,S1,1480,2,68,514,0.04594594594594595,0.3472972972972973,0.0038910505836575876,0.029411764705882353,0.0034482758620689655,-0.1465208615620655
J5,S1,1480,2,70,514,0.0472972972972973,0.3472972972972973,0.0038910505836575876,0.02857142857142857,0.003436426116838488,-0.14915862454246817
F3,S1,1480,2,318,514,0.21486486486486486,0.3472972972972973,0.0038910505836575876,0.006289308176100629,0.0024096385542168677,-0.3746852893141621
U2,U4,1480,1,2,762,0.0013513513513513514,0.5148648648648648,0.0013123359580052493,0.5,0.001310615989515072,-0.0010941094114868292
J4,U2,1480,0,68,2,0.04594594594594595,0.0013513513513513514,0.0,0.0,0.0,-0.008072627049388789
J5,U2,1480,0,70,2,0.0472972972972973,0.0013513513513513514,0.0,0.0,0.0,-0.008196288647466441
J3,U2,1480,0,78,2,0.052702702702702706,0.0013513513513513514,0.0,0.0,0.0,-0.00867662994463728
J2,U2,1480,0,99,2,0.06689189189189189,0.0013513513513513514,0.0,0.0,0.0,-0.00984914517220894
J1,U2,1480,0,132,2,0.0891891891891892,0.0013513513513513514,0.0,0.0,0.0,-0.011511178814784275
F3,U2,1480,0,318,2,0.21486486486486486,0.0013513513513513514,0.0,0.0,0.0,-0.019243686659330423
H1,U2,1480,0,630,2,0.42567567567567566,0.0013513513513513514,0.0,0.0,0.0,-0.03166930937692966
F1,U2,1480,0,800,2,0.5405405405405406,0.0013513513513513514,0.0,0.0,0.0,-0.03989957943072466
F2,U2,1480,0,964,2,0.6513513513513514,0.0013513513513513514,0.0,0.0,0.0,-0.0502795575052893
U2,U3,1480,0,2,1080,0.0013513513513513514,0.7297297297297297,0.0,0.0,0.0,-0.06044489992487606
U1,U2,1480,0,1317,2,0.8898648648648648,0.0013513513513513514,0.0,0.0,0.0,-0.10456271855982466
