target,lambda,mean_nonzero,mean_logloss,se_logloss,mean_accuracy,mean_precision,mean_recall,mean_f1
J2,0.07025280792430623,2.4,0.09601578113272577,0.018488626758652385,0.977770672310146,0.7741361253374983,1.0,0.8673520786613766
J2,0.09743494403440249,2.2,0.10955385175647507,0.017098264740250835,0.977770672310146,0.7741361253374983,1.0,0.8673520786613766
J2,0.13513436116626068,2.2,0.1294203570000546,0.015362768041204001,0.977770672310146,0.7741361253374983,1.0,0.8673520786613766
J2,0.1874203936666262,2.2,0.15859209332715316,0.013193952911030073,0.977770672310146,0.7741361253374983,1.0,0.8673520786613766
J2,0.259936878074525,1.8,0.20165213193601414,0.01034121416019207,0.977770672310146,0.7741361253374983,1.0,0.8673520786613766
J2,0.3605113577091053,1.6,0.2657987281473349,0.006326162658537982,0.977770672310146,0.7741361253374983,1.0,0.8673520786613766
J2,0.5,1.2,0.365725259496945,0.0029981350959276945,0.977770672310146,0.7741361253374983,1.0,0.8673520786613766
J3,0.001,11.4,0.050899599810686334,0.015314660415492148,0.9833282726045883,0.8155099380905831,0.9358543417366947,0.8676353276353275
J3,0.0013869188565300285,10.8,0.05162297470770253,0.015441262675784183,0.9833282726045883,0.8155099380905831,0.9358543417366947,0.8676353276353275
J3,0.00192354391459856,10.6,0.05254546436189032,0.01558602986030418,0.9820782726045885,0.808080808080808,0.9358543417366947,0.8622222222222222
J3,0.0026677993265203275,10.6,0.05397050012283152,0.01578680693081331,0.9805398110661269,0.7903030303030303,0.9358543417366947,0.8523380523380524
J3,0.0037000211913891527,10.4,0.05626910593729763,0.01608757274704319,0.9778955802968963,0.7730880230880232,0.9358543417366947,0.8403787245892509
J3,0.005131629159898318,10.0,0.06000206322536309,0.016577326237180404,0.9749536099865047,0.7363526570048309,0.9358543417366947,0.8180086580086579
J3,0.007117153246582319,8.6,0.06438814668546555,0.016861183727584467,0.9722326248313091,0.7152097902097901,0.9240896358543417,0.7994298995035916
