spec,label,members,cases,seen_cases,seen_case_rate,mean_entropy_all_cases,mean_entropy_seen_cases,unanimous_given_seen,flicker_given_seen,hist_fired_passes
j_only,J12,J1 J2,296,92,0.3108108108108108,0.2421351237309639,0.7790434415691883,0.010869565217391304,0.9891304347826086,1:66 2:15 3:9 4:1 5:1
j_only,J345,J3 J4 J5,296,59,0.19932432432432431,0.15491955910994565,0.7772235507888798,0.01694915254237288,0.9830508474576272,1:42 2:12 3:4 5:1
j_only,S1,S1,296,115,0.3885135135135135,0.05054644020505546,0.13010214174518622,0.8347826086956521,0.16521739130434782,1:11 2:4 3:1 4:3 5:96
j_only,U1,U1,296,294,0.9932432432432432,0.22977854351647856,0.23134166286012806,0.7346938775510204,0.2653061224489796,1:4 2:16 3:31 4:27 5:216
j_only,U2,U2,296,2,0.006756756756756757,0.004877892533022718,0.7219280948873623,0.0,1.0,1:2
j_only,U3,U3,296,283,0.956081081081081,0.44003750494620997,0.46025124192253763,0.4416961130742049,0.558303886925795,1:24 2:40 3:25 4:69 5:125
j_only,U4,U4,296,282,0.9527027027027027,0.7651977560661651,0.803186297147464,0.07092198581560284,0.9290780141843972,1:55 2:71 3:79 4:57 5:20
j_all,F1,F1,296,194,0.6554054054054054,0.2579498152314697,0.39357291396141764,0.520618556701031,0.4793814432989691,1:10 2:10 3:27 4:46 5:101
j_all,F2,F2,296,197,0.6655405405405406,0.04154701694898553,0.062425974705074695,0.9187817258883249,0.08121827411167512,2:2 3:1 4:13 5:181
j_all,F3,F3,296,144,0.4864864864864865,0.40707327111648856,0.8367617239616709,0.027777777777777776,0.9722222222222222,1:43 2:55 3:23 4:19 5:4
j_all,H1,H1,296,259,0.875,0.7047256699584794,0.8054007656668336,0.0694980694980695,0.9305019305019305,1:64 2:93 3:46 4:38 5:18
j_all,J_ALL,J1 J2 J3 J4 J5,296,92,0.3108108108108108,0.24381770818749976,0.7844569741684775,0.010869565217391304,0.9891304347826086,1:64 2:16 3:10 4:1 5:1
j_all,S1,S1,296,115,0.3885135135135135,0.05054644020505546,0.13010214174518622,0.8347826086956521,0.16521739130434782,1:11 2:4 3:1 4:3 5:96
j_all,U1,U1,296,294,0.9932432432432432,0.22977854351647856,0.23134166286012806,0.7346938775510204,0.2653061224489796,1:4 2:16 3:31 4:27 5:216
j_all,U2,U2,296,2,0.006756756756756757,0.004877892533022718,0.7219280948873623,0.0,1.0,1:2
